City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mount Isa,AU,2021-01-20 20:01:36,-20.7333,139.5,80.6,57,51,12.8
68,Bubaque,GW,2021-01-20 20:01:36,11.2833,-15.8333,78.53,73,80,12.44
69,Siloam Springs,US,2021-01-20 19:57:39,36.1881,-94.5405,46.99,46,90,11.5
70,Souillac,MU,2021-01-20 20:01:36,-20.5167,57.5167,78.8,94,40,5.75
71,Madaba,JO,2021-01-20 20:01:36,31.5833,35.6667,43.0,87,75,9.22
72,Butembo,CD,2021-01-20 20:01:36,0.15,29.2833,59.18,91,100,2.64
73,Cherskiy,RU,2021-01-20 20:01:37,68.75,161.3,-45.83,75,37,3.74
74,Mingaora,PK,2021-01-20 20:01:37,34.7758,72.3625,46.15,41,98,8.05
75,Oktyabrskoye,RU,2021-01-20 20:01:37,43.0645,44.7417,21.2,100,100,4.47
76,Fort Nelson,CA,2021-01-20 20:01:37,58.8053,-122.7002,30.2,64,75,1.01
77,Port Elizabeth,ZA,2021-01-20 20:01:37,-33.918,25.5701,68.0,78,6,3.0
78,Oussouye,SN,2021-01-20 20:01:37,12.485,-16.5469,87.8,47,0,9.22
79,Forbes,AU,2021-01-20 20:01:37,-33.3833,148.0167,64.0,68,0,1.99
80,Songjianghe,CN,2021-01-20 20:01:38,42.1859,127.479,18.39,96,100,6.98
81,East London,ZA,2021-01-20 20:01:38,-33.0153,27.9116,70.9,75,100,12.41
82,Auki,SB,2021-01-20 20:01:38,-8.7676,160.7034,78.31,83,100,5.44
83,Hosdurga,IN,2021-01-20 20:01:38,13.7981,76.2861,68.85,36,0,5.32
84,Barranca,PE,2021-01-20 20:01:38,-10.75,-77.7667,74.14,73,100,9.6
85,Robertsport,LR,2021-01-20 20:01:38,6.7533,-11.3686,80.11,84,4,9.62
86,Si Chiang Mai,TH,2021-01-20 20:01:38,17.9564,102.5867,64.0,82,0,2.84
87,Bethel,US,2021-01-20 20:01:39,41.3712,-73.414,32.0,69,90,17.27
88,Mahebourg,MU,2021-01-20 20:01:39,-20.4081,57.7,78.8,94,40,5.75
89,Severo-Kurilsk,RU,2021-01-20 20:01:39,50.6789,156.125,18.82,93,97,31.54
90,Hobart,AU,2021-01-20 20:01:36,-42.8794,147.3294,48.0,93,0,1.14
91,Sokoni,TZ,2021-01-20 20:01:39,-6.4333,39.55,80.6,78,20,6.91
92,Cockburn Town,TC,2021-01-20 20:01:39,21.4612,-71.1419,80.6,65,40,6.91
93,Broken Hill,AU,2021-01-20 19:58:17,-31.95,141.4333,64.4,20,0,1.14
94,Hofn,IS,2021-01-20 20:01:40,64.2539,-15.2082,32.13,88,100,27.83
95,Chuy,UY,2021-01-20 20:01:40,-33.6971,-53.4616,76.48,59,0,11.81
96,Praia Da Vitoria,PT,2021-01-20 20:01:40,38.7333,-27.0667,66.2,72,20,12.01
97,Deming,US,2021-01-20 20:01:19,32.2687,-107.7586,42.8,75,90,11.5
98,Belousovka,KZ,2021-01-20 20:01:40,50.1339,82.5239,26.6,93,90,11.18
99,Beloeil,CA,2021-01-20 20:01:08,45.5668,-73.1992,21.2,63,75,12.66
100,Miri,MY,2021-01-20 20:01:40,4.4148,114.0089,75.2,100,40,5.75
101,Lahat,ID,2021-01-20 20:01:41,-3.8,103.5333,73.56,92,100,1.61
102,Hilo,US,2021-01-20 20:01:41,19.7297,-155.09,75.2,69,75,4.61
103,Katsuura,JP,2021-01-20 20:01:41,35.1333,140.3,35.6,64,20,9.22
104,Barrow,US,2021-01-20 20:01:41,71.2906,-156.7887,-2.2,71,90,14.97
105,Avera,US,2021-01-20 20:01:41,33.194,-82.5271,62.6,27,1,11.5
106,Mataura,NZ,2021-01-20 20:01:41,-46.1927,168.8643,53.01,85,100,11.01
107,Pundaguitan,PH,2021-01-20 20:01:41,6.3711,126.1689,82.33,73,100,4.65
108,Pontian Kecil,MY,2021-01-20 20:01:41,1.4801,103.3899,73.4,94,20,7.94
109,Bambous Virieux,MU,2021-01-20 20:01:42,-20.3428,57.7575,81.0,94,40,5.75
110,Yellowknife,CA,2021-01-20 19:57:05,62.456,-114.3525,-2.99,77,75,11.5
111,Diapaga,BF,2021-01-20 20:01:42,12.0708,1.7889,74.91,18,0,7.94
112,Te Anau,NZ,2021-01-20 20:01:42,-45.4167,167.7167,49.48,88,89,1.14
113,Shieli,KZ,2021-01-20 20:01:42,44.1667,66.75,35.67,85,100,9.71
114,Algeciras,ES,2021-01-20 20:01:42,36.1333,-5.4505,60.8,72,75,20.71
115,Bredasdorp,ZA,2021-01-20 20:01:42,-34.5322,20.0403,66.2,72,30,10.36
116,Butaritari,KI,2021-01-20 20:01:42,3.0707,172.7902,79.84,81,76,19.53
117,Vao,NC,2021-01-20 20:01:42,-22.6667,167.4833,75.4,78,44,18.5
118,Hirara,JP,2021-01-20 20:01:43,24.8,125.2833,71.13,83,100,19.73
119,Hasaki,JP,2021-01-20 20:01:43,35.7333,140.8333,32.0,80,75,4.61
120,Half Moon Bay,US,2021-01-20 19:57:27,37.4636,-122.4286,64.4,24,1,6.91
121,Batouri,CM,2021-01-20 20:01:43,4.4333,14.3667,73.26,23,68,2.53
122,Chunskiy,RU,2021-01-20 20:01:43,56.0815,99.6342,-23.6,85,80,2.3
123,Marawi,PH,2021-01-20 20:01:43,7.9986,124.2928,73.99,95,100,3.0
124,Castro,BR,2021-01-20 20:00:12,-24.7911,-50.0119,69.04,89,100,2.08
125,Xichang,CN,2021-01-20 20:01:43,27.8964,102.2634,51.01,48,100,3.47
126,San Ramon,US,2021-01-20 20:01:43,37.7799,-121.978,64.4,15,1,3.13
127,Santa Fe,AR,2021-01-20 20:01:44,-31.6333,-60.7,96.01,23,0,4.0
128,Lorengau,PG,2021-01-20 20:01:44,-2.0226,147.2712,81.61,77,100,11.56
129,Saint-Philippe,RE,2021-01-20 20:01:44,-21.3585,55.7679,82.4,69,90,1.14
130,Luderitz,NA,2021-01-20 20:01:44,-26.6481,15.1594,69.12,72,97,9.57
