City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kaduqli,SD,11.0167,29.7167,74.89,22,57,4.85,broken clouds
80,Hasaki,JP,35.7333,140.8333,39.2,100,75,18.41,light rain
81,Punta Arenas,CL,-53.15,-70.9167,57.2,47,0,34.52,clear sky
82,Bichena,ET,10.45,38.2,60.13,31,26,5.39,scattered clouds
83,Adelaide,AU,-34.9333,138.6,90.0,17,0,17.27,clear sky
84,Esperance,AU,-33.8667,121.9,64.4,94,90,8.05,overcast clouds
85,Omsukchan,RU,62.5333,155.8,-31.27,81,100,4.45,overcast clouds
86,Mujiayingzi,CN,42.1167,118.7833,20.46,85,47,4.47,scattered clouds
87,Chokurdakh,RU,70.6333,147.9167,-36.74,83,95,5.91,overcast clouds
88,Caravelas,BR,-17.7125,-39.2481,79.95,68,55,8.66,broken clouds
89,Gamba,GA,-2.65,10.0,77.56,87,100,3.83,overcast clouds
90,Meulaboh,ID,4.1363,96.1285,76.73,88,53,2.64,broken clouds
91,Marsh Harbour,BS,26.5412,-77.0636,73.71,68,0,10.22,clear sky
92,Tiksi,RU,71.6872,128.8694,-42.32,79,35,5.7,scattered clouds
93,Cape Town,ZA,-33.9258,18.4232,70.0,94,90,16.11,light rain
94,Hirara,JP,24.8,125.2833,67.51,82,90,26.26,overcast clouds
95,Port Alfred,ZA,-33.5906,26.891,71.01,90,61,8.99,broken clouds
96,Salalah,OM,17.0151,54.0924,73.4,21,0,11.5,clear sky
97,Nilanga,IN,18.1,76.7667,73.69,39,26,2.95,scattered clouds
98,Snyder,US,32.7179,-100.9176,44.6,100,90,4.61,mist
99,Keflavik,IS,64.0049,-22.5624,30.2,74,75,24.16,broken clouds
100,Gat,IL,31.61,34.7642,55.0,47,0,1.21,clear sky
101,Pacific Grove,US,36.6177,-121.9166,51.8,71,1,3.44,clear sky
102,San Cristobal,VE,7.7669,-72.225,87.8,55,20,11.5,few clouds
103,Sabang,ID,5.8933,95.3214,81.1,72,30,11.12,scattered clouds
104,Cidreira,BR,-30.1811,-50.2056,78.87,73,1,12.97,clear sky
105,Roald,NO,62.5833,6.1333,39.2,75,75,9.22,broken clouds
106,La Plata,AR,-34.9215,-57.9545,93.0,42,0,1.99,clear sky
107,Yangjiang,CN,21.85,111.9667,62.17,78,1,1.14,clear sky
108,Hoa Binh,VN,20.8133,105.3383,64.4,68,20,5.75,haze
109,Vila Franca Do Campo,PT,37.7167,-25.4333,64.0,88,40,10.36,scattered clouds
110,Ancud,CL,-41.8697,-73.8203,68.0,64,0,9.22,clear sky
111,Chingirlau,KZ,51.095,54.0814,15.44,97,100,13.58,light snow
112,Atbasar,KZ,51.8,68.3333,-15.75,88,73,5.79,broken clouds
113,Arlit,NE,18.7369,7.3853,72.68,16,10,11.25,clear sky
114,Zhuhai,CN,22.2769,113.5678,66.0,94,15,3.44,mist
115,Grand Gaube,MU,-20.0064,57.6608,79.0,76,6,1.99,clear sky
116,Batsfjord,NO,70.6345,29.7185,20.34,94,100,28.23,light snow
117,Hithadhoo,MV,-0.6,73.0833,82.81,68,77,4.47,broken clouds
118,San Patricio,US,28.017,-97.5169,68.0,88,90,13.8,mist
119,Mecca,SA,21.4267,39.8261,75.92,51,0,1.54,clear sky
120,Teknaf,BD,20.8624,92.3058,61.9,63,0,7.25,clear sky
121,Kavieng,PG,-2.5744,150.7967,81.14,78,100,4.97,overcast clouds
122,Manyoni,TZ,-5.7467,34.8382,64.44,90,88,3.02,overcast clouds
123,Lebu,CL,-37.6167,-73.65,64.76,80,61,17.0,broken clouds
124,Talnakh,RU,69.4865,88.3972,-34.67,65,45,1.34,scattered clouds
125,Codrington,AU,-38.2667,141.9667,62.33,69,52,8.19,moderate rain
126,Berlevag,NO,70.8578,29.0864,22.26,94,100,30.53,light snow
127,Zhoukou,CN,33.6333,114.6333,41.88,62,100,4.74,overcast clouds
128,Beberibe,BR,-4.1797,-38.1306,86.0,62,75,14.97,light rain
129,Laguna,US,38.421,-121.4238,48.99,87,20,9.22,few clouds
130,Am Timan,TD,11.0297,20.2827,81.82,19,94,4.29,overcast clouds
